title,youtube_url,category,featured,sort_order,status,event_slug,event_name
Senator Sabrina Salas Matanane Sends Support to Team Guam in Nagoya 🇯🇵💪,https://www.youtube.com/watch?v=Huideq9AYs4,gi,true,1,published,,
COPA DE MARIANAS 2026 / MAT 1 (Stream A),https://www.youtube.com/watch?v=sI5C5FpI0wQ,gi,true,2,published,,
【FULL MATCH】GUAM COPA DE MARIANAS 2026 / MAT 6,https://www.youtube.com/watch?v=BN8d-n-wXz0,gi,true,3,published,,
【FULL MATCH】GUAM COPA DE MARIANAS 2026 / MAT 5,https://www.youtube.com/watch?v=IXiFlwAIQaM,gi,false,4,published,,
【FULL MATCH】GUAM COPA DE MARIANAS 2026 / MAT 4,https://www.youtube.com/watch?v=bfRBSs-ewB4,gi,false,5,published,,
【FULL MATCH】GUAM COPA DE MARIANAS 2026 / MAT 3,https://www.youtube.com/watch?v=u2eStz_h5gA,gi,false,6,published,,
【FULL MATCH】GUAM COPA DE MARIANAS 2026 / MAT 2,https://www.youtube.com/watch?v=jnl1qz_fwNE,gi,false,7,published,,
【FULL MATCH】GUAM COPA DE MARIANAS 2026 / MAT 1,https://www.youtube.com/watch?v=LmIGrVLYZxk,gi,false,8,published,,
COPA DE MARIANAS 2026 / MAT 1 (Stream B),https://www.youtube.com/watch?v=TbeM254x1QU,gi,false,9,published,,
2025 Marianas Open International Championship,https://www.youtube.com/watch?v=8Iyqjj3LkR0,gi,false,10,published,,
Marianas Open International Championship 2025: Guam’s only 5-Star ranked ASJJF Tournament in Guam,https://www.youtube.com/watch?v=YgYjb_1WCoM,gi,false,11,published,,
THE ROAD TO MARIANAS OPEN STARTS HERE! Visit our website or social media for details.,https://www.youtube.com/watch?v=YQ3--liAheQ,gi,false,12,published,,
【FULL MATCH】MARIANAS OPEN 2025 / MAT 8,https://www.youtube.com/watch?v=puCSwDWNzVY,gi,false,13,published,,
【FULL MATCH】MARIANAS OPEN 2025 / MAT 7,https://www.youtube.com/watch?v=yVSwfymjs8A,gi,false,14,published,,
【FULL MATCH】MARIANAS OPEN 2025 / MAT 6,https://www.youtube.com/watch?v=sT7XKwFgY_U,gi,false,15,published,,
